instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,pctghum,windspeed,comfindex,casual,registered,cnt,simurevenue
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,81%,0.0,0.16799999999999998,3,13,16,31.5
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,80%,0.0,0.154,8,32,40,80.0
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,80%,0.0,0.154,5,27,32,60.5
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,75%,0.0,0.16799999999999998,3,10,13,27.0
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,75%,0.0,0.16799999999999998,0,1,1,1.5
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,75%,0.0896,0.14112,0,1,1,1.5
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,80%,0.0,0.154,2,0,2,8.0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,86%,0.0,0.13999999999999999,1,2,3,7.0
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,75%,0.0,0.16799999999999998,1,7,8,14.5
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,76%,0.0,0.22399999999999998,8,6,14,41.0
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,76%,0.2537,0.18988999999999995,12,24,36,84.0
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,81%,0.2836,0.16692,26,30,56,149.0
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,77%,0.2836,0.20892,29,55,84,198.5
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,72%,0.2985,0.23245000000000002,47,47,94,258.5
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,72%,0.2836,0.23692000000000002,35,71,106,246.5
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,77%,0.2985,0.21845,40,70,110,265.0
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,82%,0.2985,0.20445,41,52,93,242.0
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,82%,0.2836,0.22292,15,52,67,138.0
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,88%,0.2537,0.21788999999999997,9,26,35,75.0
20,2011-01-01,1,0,1,19,0,6,0,3,,0.4242,0.88,88%,0.2537,,6,31,37,70.5
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,87%,0.2537,0.20388999999999996,11,25,36,81.5
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,87%,0.194,0.22179999999999997,3,31,34,58.5
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,94%,0.2239,0.21282999999999996,11,17,28,69.5
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,88%,0.2985,0.23245000000000002,15,24,39,96.0
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,88%,0.2985,0.23245000000000002,4,13,17,35.5
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,94%,0.2537,0.23188999999999999,1,16,17,28.0
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,100%,0.2836,0.20892,1,8,9,16.0
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,94%,0.194,0.26380000000000003,2,4,6,14.0
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,94%,0.194,0.26380000000000003,2,1,3,9.5
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,77%,0.2985,0.20445,0,2,2,3.0
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,76%,0.194,0.22179999999999997,0,1,1,1.5
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,71%,0.2239,0.21282999999999996,0,8,8,12.0
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,76%,0.2239,0.19882999999999995,1,19,20,32.5
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,81%,0.2239,0.18483,7,46,53,97.0
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,71%,0.2537,0.17589,16,54,70,145.0
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,66%,0.2985,0.16245,20,73,93,189.5
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,66%,0.1343,0.21171,11,64,75,140.0
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,76%,0.194,0.1938,4,55,59,98.5
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,81%,0.1642,0.18874,19,55,74,158.5
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,71%,0.1642,0.18874,9,67,76,136.5
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,56%,0.194,0.1798,7,58,65,115.0
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,46%,0.3284,0.15348,10,43,53,104.5
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,42%,0.4478,0.08965999999999999,1,29,30,47.5
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,39%,0.3582,0.10253999999999999,5,17,22,45.5
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,44%,0.3284,0.08347999999999998,11,20,31,74.0
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,44%,0.2985,0.07844999999999999,0,9,9,13.5
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,47%,0.1642,0.10474,0,8,8,12.0
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,44%,0.3582,0.04654,0,5,5,7.5
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,44%,0.4179,0.014630000000000004,0,2,2,3.0
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,47%,0.3881,-0.004430000000000003,0,1,1,1.5
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,47%,0.2836,0.026919999999999986,0,3,3,4.5
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,50%,0.3881,-0.018429999999999988,0,30,30,45.0
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,50%,0.194,0.0398,1,63,64,98.5
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,50%,0.2836,0.012920000000000001,1,153,154,233.5
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,43%,0.3881,-0.004430000000000003,7,81,88,149.5
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,43%,0.2537,0.049890000000000004,11,33,44,93.5
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,40%,0.3284,0.041479999999999975,10,41,51,101.5
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,35%,0.2985,0.06445000000000001,13,48,61,124.0
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,35%,0.2836,0.08291999999999998,8,53,61,111.5
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,30%,0.2836,0.09691999999999999,11,66,77,143.0
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,30%,0.2537,0.10589,14,58,72,143.0
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,30%,0.2537,0.10589,9,67,76,136.5
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,30%,0.2239,0.10082999999999999,11,146,157,263.0
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,32%,0.1045,0.13665,9,148,157,258.0
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,47%,0.0,0.13999999999999999,8,102,110,185.0
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,47%,0.1045,0.10865,3,49,52,85.5
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,64%,0.1343,0.08571000000000001,3,49,52,85.5
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,69%,0.1343,0.057710000000000004,0,20,20,30.0
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,55%,0.1045,0.09465000000000001,1,11,12,20.5
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,55%,0.1045,0.08065,0,5,5,7.5
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,59%,0.1045,0.08065,0,2,2,3.0
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,63%,0.1343,0.057710000000000004,0,1,1,1.5
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,63%,0.0896,0.07112,0,2,2,3.0
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,68%,0.1045,0.052649999999999995,0,4,4,6.0
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,74%,0.1045,0.052649999999999995,0,36,36,54.0
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,74%,0.1343,0.04370999999999999,2,92,94,146.0
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,69%,0.1642,0.04874,2,177,179,273.5
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,64%,0.2239,0.044829999999999995,2,98,100,155.0
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,69%,0.3284,0.013479999999999978,5,37,42,75.5
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,51%,0.2985,0.06445000000000001,7,50,57,103.0
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,51%,0.1642,0.10474,12,66,78,147.0
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,56%,0.194,0.10979999999999998,18,79,97,190.5
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,52%,0.2239,0.11483,9,54,63,117.0
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,52%,0.2537,0.11989000000000001,17,48,65,140.0
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,49%,0.2537,0.13389,15,68,83,162.0
